tipo_logradouro;logradouro;bairro;numero;complemento;loteamento
RUA;A;GLORIA;194;;
RUA;A;GLORIA;;CACHOEIRA - ÁREA=01;
RUA;A;GLORIA;696;;
RUA;A;GLORIA;174;CACHOEIRA - ÁREA - 02;
RUA;A;GLORIA;;AREA INSTITUCION;
AV.;BARAO DO RIO BRANCO;TRANCADOR;;;
RUA;AMERICO DE MACEDO;CENTRO;134;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;476;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;488;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;510;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;512;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;522;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;532;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;542;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;548;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;542;#NOME?;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;135;;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;71;;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;49;;
AV.;APIO CARDOSO;CENTRO;425;#NOME?;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;45;LOJA TERREO;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;45;RES PAV 01;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;45;A;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;37;;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;47;FUNDOS;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;29;;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;37;A - SALA DE BELEZA;
RUA;JOAQUIM DOS SANTOS;TRANCADOR;37;B;
AV.;APIO CARDOSO;CENTRO;415;TERREO;
AV.;APIO CARDOSO;CENTRO;415;A - PAV SUPERIOR;
TRV;RAIMUNDINHO;TRANCADOR;87;;
TRV;RAIMUNDINHO;TRANCADOR;95;;
TRV;RAIMUNDINHO;TRANCADOR;71;;
TRV;RAIMUNDINHO;TRANCADOR;57;;
TRV;RAIMUNDINHO;TRANCADOR;72;;
TRV;RAIMUNDINHO;TRANCADOR;65;;
TRV;RAIMUNDINHO;TRANCADOR;65;#NOME?;
TRV;RAIMUNDINHO;TRANCADOR;61;;
TRV;RAIMUNDINHO;TRANCADOR;37;;
TRV;RAIMUNDINHO;TRANCADOR;25;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;623;GI 358 1998;
AV.;BARAO DO RIO BRANCO;TRANCADOR;613;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;613;A - FUNDOS;
AV.;BARAO DO RIO BRANCO;TRANCADOR;597;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;587;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;573;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;573;A;
AV.;BARAO DO RIO BRANCO;TRANCADOR;45;A;
AV.;BARAO DO RIO BRANCO;TRANCADOR;45;B;
TRV;RAIMUNDINHO;TRANCADOR;45;C;
AV.;BARAO DO RIO BRANCO;TRANCADOR;563;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;551;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;539;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;531;;
TRV;JULAIR ALVES DE MOURA;TRANCADOR;523;#NOME?;
TRV;JULAIR ALVES DE MOURA;TRANCADOR;34;;
TRV;JULAIR ALVES DE MOURA;TRANCADOR;42;;
TRV;JULAIR ALVES DE MOURA;TRANCADOR;52;;
TRV;JULAIR ALVES DE MOURA;TRANCADOR;72;;
TRV;JULAIR ALVES DE MOURA;TRANCADOR;57;;
TRV;RAIMUNDINHO;TRANCADOR;43;;
TRV;JULAIR ALVES DE MOURA;TRANCADOR;47;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;497;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;481;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;471;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;443;;
TRV;MANOEL TEODORO;TRANCADOR;113;;
TRV;MANOEL TEODORO;TRANCADOR;103;;
TRV;MANOEL TEODORO;TRANCADOR;95;FRENTE;
TRV;MANOEL TEODORO;TRANCADOR;95;FUNDOS;
TRV;MANOEL TEODORO;TRANCADOR;85;;
RUA;MANOEL TEODORO;TRANCADOR;67;;
